Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price(Rs)
Honda,City,2001,23,"98,000 km",Manual,second,Petrol," 1,95,000"
Toyota,Innova,2009,15,190000.0 km,Manual,second,Diesel," 3,75,000"
Volkswagen,VentoTest,2010,14,"77,246 km",Manual,first,Diesel," 1,84,999"
Maruti Suzuki,Swift,2017,7,"83,500 km",Manual,second,Diesel," 5,65,000"
Maruti Suzuki,Baleno,2019,5,"45,000 km",Automatic,first,Petrol," 6,85,000"
BMW,X3,2014,10,"83,000 km",Automatic,first,Diesel," 13,50,000"
Toyota,Innova,2014,10,"168,000 km",Manual,second,Diesel," 10,25,000"
BMW,5 Series,2019,5,"25,000 km",Automatic,second,Diesel," 59,50,000"
Maruti Suzuki,maruti-suzuki-dzire,2020,4,"33,759 km",Manual,second,Petrol," 6,22,000"
Ford,Ecosport,2017,7,"69,713 km",Manual,second,Petrol," 6,49,000"
Maruti Suzuki,Alto-K10,2018,6,"70,000 km",Automatic,first,Petrol," 3,95,000"
Kia,Carnival,2021,3,"25,000 km",Automatic,first,Diesel," 29,00,000"
Maruti Suzuki,Swift-Dzire,2012,12,"72,700 km",Manual,second,Petrol," 2,40,000"
Toyota,Corolla,2007,17,"121,931 km",Automatic,second,Petrol," 2,01,350"
Mercedes-Benz,GLE COUPE,2021,3,"32,000 km",Automatic,second,Petrol," 1,18,00,000"
Hyundai,Xcent,2018,6,"130,000 km",Manual,second,Diesel," 3,30,000"
Kia,Seltos,2020,4,"68,000 km",Manual,first,Diesel," 10,45,000"
Maruti Suzuki,Ertiga,2016,8,"65,000 km",Manual,second,Diesel," 7,85,000"
Maruti Suzuki,Ertiga,2017,7,"59,000 km",Automatic,second,Petrol," 5,55,000"
BMW,3 Series GT,2015,9,"61,000 km",Automatic,second,Diesel," 15,00,000"
Ford,Endeavour,2019,5,"77,000 km",Automatic,second,Diesel," 23,99,000"
Toyota,Innova Crysta,2017,7,"107,000 km",Automatic,first,Diesel," 13,25,000"
Honda,City,2010,14,99000.0 km,Manual,first,Petrol," 2,95,000"
Audi,A3,2015,9,"42,000 km",Automatic,second,Diesel," 10,50,000"
Renault,KWID,2019,5,"48,073 km",Automatic,second,Petrol," 3,55,000"
MG,Hector,2019,5,"32,618 km",Automatic,first,Petrol," 12,50,000"
Maruti Suzuki,Swift-Dzire,2012,12,"70,000 km",Manual,second,Diesel," 3,15,000"
Maruti Suzuki,Celerio,2014,10,"51,000 km",Automatic,second,Petrol," 3,45,000"
Maruti Suzuki,Vitara-Brezza,2018,6,"137,000 km",Manual,first,Diesel," 8,45,000"
Toyota,2.8 Legender 4X2,2023,1,"1,996 km",Automatic,first,Diesel," 41,95,000"
Toyota,Innova Crysta,2017,7,"90,000 km",Manual,second,Diesel," 19,50,000"
Toyota,Innova,2011,13,"84,000 km",Manual,second,Diesel," 4,90,000"
Volvo,S90,2018,6,"53,000 km",Automatic,first,Diesel," 29,50,000"
Hyundai,Venue,2021,3,"17,000 km",Manual,first,Petrol," 6,85,000"
Maruti Suzuki,Ertiga,2018,6,"70,000 km",Manual,second,Petrol," 7,49,000"
Hyundai,Creta,2023,1,"5,000 km",Automatic,first,Petrol," 16,00,000"
Hyundai,Alcazar,2022,2,"47,110 km",Manual,second,Diesel," 16,95,000"
Hyundai,i20,2019,5,"35,000 km",Manual,first,Petrol," 5,85,000"
Mercedes-Benz,E-Class,2019,5,"101,570 km",Automatic,first,Diesel," 42,00,000"
Volkswagen,Polo,2021,3,"42,000 km",Manual,second,Petrol," 6,75,000"
Maruti Suzuki,Baleno,2018,6,"30,000 km",Manual,second,Petrol," 6,30,000"
Hyundai,Verna,2016,8,"82,100 km",Manual,second,Diesel," 4,65,000"
Audi,A4,2012,12,"90,000 km",Automatic,second,Diesel," 8,99,000"
Toyota,Fortuner,2011,13,"193,000 km",Manual,second,Diesel," 11,25,000"
Mercedes-Benz,C-Class,2015,9,65000.0 km,Automatic,first,Diesel," 17,50,000"
Hyundai,Creta,2022,2,30000.0 km,Automatic,second,Petrol," 16,90,000"
Maruti Suzuki,Swift-Dzire,2020,4,"94,856 km",Manual,first,Petrol," 6,90,000"
Skoda,Kushaq,2023,1,"12,000 km",Automatic,first,Petrol," 18,00,000"
Maruti Suzuki,Ciaz,2018,6,0 km,Manual,first,Petrol," 5,00,000"
Tata,Safari,2010,14,"500,000 km",Manual,first,Diesel," 8,00,000"
Toyota,Innova Crysta,2018,6,"118,000 km",Automatic,first,Diesel," 17,95,000"
